순번,게시판 종류,게시판 제목,작성자,작성일,조회수
6236,공지사항,보호나라 챗봇 캐릭터 이름 짓기 공모전 선정작 발표,침해대응정책팀,2024-01-02,3579
6237,공지사항,보호나라 챗봇 이벤트(초성퀴즈) 안내,침해대응정책팀,2024-01-03,4538
6238,보안공지,닥터소프트 NetClient6 제품 보안 업데이트 권고,취약점분석팀,2024-01-04,19682
6239,첨부파일 게시판,카드뉴스 '스미싱 주의보' 이미지,관리자,2024-01-04,0
6240,카드뉴스,스미싱 주의보,관리자,2024-01-04,7365
6241,자세히 알아보기,스미싱 주의보,관리자,2024-01-04,8113
6242,보안공지,Perl 모듈(Spreadsheet-ParseExcel) 보안 업데이트 권고,취약점분석팀,2024-01-05,15056
6243,공지사항,보호나라 챗봇 이벤트(카드뉴스 공유하기) 안내,침해대응정책팀,2024-01-10,3525
6244,첨부파일 게시판,카드뉴스 '보호나라 카톡채널로 쉽고 빠르게!' 이미지,관리자,2024-01-10,0
6245,카드뉴스,보호나라 카톡채널로 쉽고 빠르게!,관리자,2024-01-10,5204
6246,보안공지,MS 1월 보안 위협에 따른 정기 보안 업데이트 권고,취약점분석팀,2024-01-11,13565
6247,보안공지,Zoho 제품 보안 업데이트 권고,취약점분석팀,2024-01-11,44650
6248,보안공지,Cisco 제품 보안 업데이트 권고,취약점분석팀,2024-01-12,43608
6249,보안공지,Juniper 제품 보안 업데이트 권고,취약점분석팀,2024-01-15,41576
6250,보안공지,GitLab 제품 보안 업데이트 권고,취약점분석팀,2024-01-15,43888
6251,첨부파일 게시판,카드뉴스 '챗 GPT 이용 시 보안 주의점' 이미지,관리자,2024-01-16,0
6252,카드뉴스,챗 GPT 이용 시 보안 주의점,관리자,2024-01-16,52221
6253,보안공지,Ivanti 제품 보안 주의 권고,취약점분석팀,2024-01-17,50286
6254,보안공지,SonicWall 제품 보안 업데이트 권고,취약점분석팀,2024-01-17,50566
